timestamp_us,profile,ref_x,ref_y,ref_z,ref_vx,ref_vy,ref_vz,ref_ax,ref_ay,ref_az,ref_yaw,ref_yawspeed,pos_x,pos_y,pos_z,vx,vy,vz,ax,ay,az,roll,pitch,yaw,p,q,r,att_sp_q0,att_sp_q1,att_sp_q2,att_sp_q3,att_sp_thrust_x,att_sp_thrust_y,att_sp_thrust_z,rate_sp_roll,rate_sp_pitch,rate_sp_yaw,rate_sp_thrust_x,rate_sp_thrust_y,rate_sp_thrust_z,motor_0,motor_1,motor_2,motor_3,esc_0_rpm,esc_1_rpm,esc_2_rpm,esc_3_rpm,esc_0_voltage,esc_1_voltage,esc_2_voltage,esc_3_voltage,esc_0_current,esc_1_current,esc_2_current,esc_3_current,hover_thrust,controller
12508000,drag_z,0.000000,0.000000,-3.000000,0.000000,0.000000,0.141369,0.000000,0.000000,14.136867,0.000000,0.000000,0.052419,0.003103,-3.430633,0.035414,-0.010346,-1.806098,0.000016,-0.010255,-0.391806,0.033512,0.002385,1.494337,0.055815,-0.029442,-0.168646,0.999998,0.001402,0.001327,-0.000002,0.000000,0.000000,-0.001000,-0.111303,-0.055123,-3.490659,0.000000,0.000000,-0.001000,0.000000,0.002000,0.000000,0.002000,150.000000,151.000000,150.000000,151.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,sysid
12528000,drag_z,0.000000,0.000000,-2.994345,0.000000,0.000000,0.282719,0.000000,0.000000,-0.001809,0.000000,0.000000,0.051857,0.002720,-3.474408,0.034222,-0.010822,-1.815470,-0.004037,-0.001819,-0.386072,0.034678,0.001923,1.491964,0.056202,-0.029819,-0.168579,0.999982,0.001018,0.005976,-0.000006,0.000000,0.000000,-0.001000,-0.082875,-0.038091,-3.490659,0.000000,0.000000,-0.001000,0.000000,0.002000,0.000000,0.002000,150.000000,151.000000,150.000000,151.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,sysid
12548000,drag_z,0.000000,0.000000,-2.988691,0.000000,0.000000,0.282665,0.000000,0.000000,-0.003614,0.000000,0.000000,0.051480,0.002455,-3.503686,0.033427,-0.011105,-1.821616,-0.005294,-0.004618,-0.380284,0.035848,0.001429,1.489548,0.056641,-0.031874,-0.168937,0.999982,0.001052,0.005851,-0.000006,0.000000,0.000000,-0.001000,-0.088795,-0.038043,-3.490659,0.000000,0.000000,-0.001000,0.000000,0.000946,0.000502,0.002552,150.000000,150.000000,150.000000,152.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,sysid
12568000,drag_z,0.000000,0.000000,-2.983039,0.000000,0.000000,0.282575,0.000000,0.000000,-0.005427,0.000000,0.000000,0.050855,0.002056,-3.547691,0.032270,-0.011593,-1.830840,-0.003435,-0.007211,-0.389334,0.037026,0.000920,1.487099,0.057045,-0.032511,-0.167957,0.999983,0.001130,0.005676,-0.000006,0.000000,0.000000,-0.001000,-0.095006,-0.038420,-3.490659,0.000000,0.000000,-0.001000,0.000000,0.001237,0.000363,0.002400,150.000000,151.000000,150.000000,152.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,sysid
12588000,drag_z,0.000000,0.000000,-2.977388,0.000000,0.000000,0.282448,0.000000,0.000000,-0.007232,0.000000,0.000000,0.050439,0.001785,-3.577110,0.031544,-0.011909,-1.837057,-0.008734,-0.004269,-0.390766,0.038185,0.000383,1.484773,0.055632,-0.034130,-0.168982,0.999984,0.001176,0.005566,-0.000007,0.000000,0.000000,-0.001000,-0.100784,-0.038242,-3.490659,0.000000,0.000000,-0.001000,0.000000,0.000653,0.000641,0.002706,150.000000,150.000000,150.000000,152.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,sysid
12608000,drag_z,0.000000,0.000000,-2.971741,0.000000,0.000000,0.282286,0.000000,0.000000,-0.009029,0.000000,0.000000,0.049816,0.001373,-3.621369,0.030546,-0.012423,-1.846392,-0.001567,-0.010381,-0.387635,0.039336,-0.000186,1.482529,0.056049,-0.035724,-0.168214,0.999984,0.001264,0.005436,-0.000007,0.000000,0.000000,-0.001000,-0.106590,-0.038309,-3.490659,0.000000,0.000000,-0.001000,0.000000,0.000235,0.000840,0.002924,150.000000,150.000000,150.000000,152.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,sysid
12628000,drag_z,0.000000,0.000000,-2.966097,0.000000,0.000000,0.282087,0.000000,0.000000,-0.010845,0.000000,0.000000,0.049390,0.001103,-3.650953,0.029738,-0.012767,-1.852461,-0.008201,-0.011002,-0.381584,0.040481,-0.000757,1.480247,0.055690,-0.036668,-0.166894,0.999985,0.001316,0.005290,-0.000007,0.000000,0.000000,-0.001000,-0.112594,-0.038142,-3.490659,0.000000,0.000000,-0.001000,0.000566,0.000000,0.000683,0.002751,150.000000,150.000000,150.000000,152.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,sysid
12648000,drag_z,0.000000,0.000000,-2.960457,0.000000,0.000000,0.281852,0.000000,0.000000,-0.012638,0.000000,0.000000,0.048733,0.000704,-3.695448,0.028557,-0.013217,-1.861625,-0.013251,-0.011130,-0.390348,0.041624,-0.001325,1.477906,0.054956,-0.036638,-0.167953,0.999986,0.001375,0.005094,-0.000007,0.000000,0.000000,-0.001000,-0.118936,-0.038174,-3.490659,0.000000,0.000000,-0.001000,0.000448,0.000000,0.000739,0.002813,150.000000,150.000000,150.000000,152.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,sysid
12668000,drag_z,0.000000,0.000000,-2.954823,0.000000,0.000000,0.281581,0.000000,0.000000,-0.014454,0.000000,0.000000,0.048225,0.000444,-3.725164,0.027757,-0.013595,-1.867590,-0.002194,-0.011679,-0.381203,0.042751,-0.001929,1.475816,0.055182,-0.038038,-0.167715,0.999987,0.001440,0.004963,-0.000007,0.000000,0.000000,-0.001000,-0.124747,-0.037917,-3.490659,0.000000,0.000000,-0.001000,0.000741,0.000000,0.000600,0.002659,150.000000,150.000000,150.000000,152.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,sysid
12688000,drag_z,0.000000,0.000000,-2.949194,0.000000,0.000000,0.281274,0.000000,0.000000,-0.016233,0.000000,0.000000,0.047460,0.000063,-3.769902,0.026517,-0.013998,-1.876602,-0.007559,-0.002710,-0.381577,0.043867,-0.002523,1.473682,0.054339,-0.037441,-0.166618,0.999988,0.001474,0.004747,-0.000007,0.000000,0.000000,-0.001000,-0.131225,-0.037709,-3.490659,0.000000,0.000000,-0.001000,0.000033,0.000000,0.000937,0.003030,150.000000,150.000000,150.000000,152.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,sysid
12708000,drag_z,0.000000,0.000000,-2.943572,0.000000,0.000000,0.280931,0.000000,0.000000,-0.018049,0.000000,0.000000,0.046913,-0.000163,-3.799830,0.025734,-0.014218,-1.882644,-0.002580,-0.004585,-0.392233,0.044966,-0.003135,1.471489,0.052962,-0.039051,-0.166648,0.999988,0.001488,0.004622,-0.000007,0.000000,0.000000,-0.001000,-0.137049,-0.036986,-3.490659,0.000000,0.000000,-0.001000,0.001800,0.000000,0.000095,0.002105,151.000000,150.000000,150.000000,151.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,sysid
12728000,drag_z,0.000000,0.000000,-2.937957,0.000000,0.000000,0.280552,0.000000,0.000000,-0.019846,0.000000,0.000000,0.046054,-0.000515,-3.844952,0.024545,-0.014614,-1.891660,-0.008819,-0.001952,-0.390068,0.046027,-0.003741,1.469480,0.050900,-0.039081,-0.166203,0.999989,0.001541,0.004423,-0.000007,0.000000,0.000000,-0.001000,-0.143138,-0.036768,-3.490659,0.000000,0.000000,-0.001000,0.001860,0.000000,0.000066,0.002073,151.000000,150.000000,150.000000,151.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,sysid
12748000,drag_z,0.000000,0.000000,-2.932350,0.000000,0.000000,0.280137,0.000000,0.000000,-0.021635,0.000000,0.000000,0.045484,-0.000756,-3.875167,0.023774,-0.014708,-1.897684,-0.007407,0.005330,-0.380582,0.047093,-0.004356,1.467448,0.051762,-0.039860,-0.167899,0.999990,0.001526,0.004301,-0.000007,0.000000,0.000000,-0.001000,-0.148891,-0.035775,-3.490659,0.000000,0.000000,-0.001000,0.002000,0.000000,0.000298,0.001702,151.000000,150.000000,150.000000,151.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,sysid
12768000,drag_z,0.000000,0.000000,-2.926751,0.000000,0.000000,0.279687,0.000000,0.000000,-0.023395,0.000000,0.000000,0.044558,-0.001122,-3.920770,0.022597,-0.014952,-1.906817,-0.011750,0.003098,-0.384552,0.048123,-0.004979,1.465373,0.049372,-0.039963,-0.165786,0.999990,0.001559,0.004098,-0.000006,0.000000,0.000000,-0.001000,-0.154976,-0.035316,-3.490659,0.000000,0.000000,-0.001000,0.002000,0.000000,0.000342,0.001658,151.000000,150.000000,150.000000,151.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,sysid
12788000,drag_z,0.000000,0.000000,-2.921162,0.000000,0.000000,0.279201,0.000000,0.000000,-0.025220,0.000000,0.000000,0.043925,-0.001378,-3.951318,0.021702,-0.015239,-1.912880,-0.014381,-0.002030,-0.385312,0.049144,-0.005595,1.463290,0.048846,-0.039470,-0.165628,0.999991,0.001625,0.003927,-0.000006,0.000000,0.000000,-0.001000,-0.160665,-0.035015,-3.490659,0.000000,0.000000,-0.001000,0.001932,0.000000,0.000032,0.002036,151.000000,150.000000,150.000000,151.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,sysid
12808000,drag_z,0.000000,0.000000,-2.915583,0.000000,0.000000,0.278679,0.000000,0.000000,-0.026990,0.000000,0.000000,0.042955,-0.001783,-3.997355,0.020457,-0.015692,-1.922023,-0.009563,-0.005318,-0.384377,0.050135,-0.006195,1.461374,0.047122,-0.039406,-0.166166,0.999992,0.001717,0.003719,-0.000006,0.000000,0.000000,-0.001000,-0.166408,-0.035064,-3.490659,0.000000,0.000000,-0.001000,0.002000,0.000000,0.000291,0.001709,151.000000,150.000000,150.000000,151.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,sysid
